edit_history_tweet_ids,id,text
['1663971281526554625'],1663971281526554625,"""A lack of trust undermines the U.N.’s safety plan for the Zaporizhzhia Nuclear Power Plant."" by BY MATTHEW MPOKE BIGG via NYT New York Times https://t.co/IsHJoqyMtq"
['1663971260911562753'],1663971260911562753,RT @GLandsbergis: Putin is still holding a nuclear power station hostage at Zaporizhzhia. Now he is making renewed threats about its safety…
['1663971151242985472'],1663971151242985472,"""A lack of trust undermines the U.N.’s safety plan for the Zaporizhzhia Nuclear Power Plant."" by BY MATTHEW MPOKE BIGG via NYT New York Times https://t.co/79KbMZ4Pyd"
['1663972932266147850'],1663972932266147850,"RT @RussEmbDhaka: Unit 1 of RNPP is getting ready for nuclear fuel loading - the ""Core Barrel"" has been installed there

It separates the i…"
['1663970894849400833'],1663970894849400833,"RT @dakotakochie: Facts matter. Canada will not, under any circumstances, be importing used nuclear fuel from the United States - or any co…"
['1663970770052083712'],1663970770052083712,"RT @quakes99: A section by section synopsis of the passed #Nuclear ADVANCE Act of 2023 is here: https://t.co/7Fy5ydGwfY 
Note that it puts…"
['1663970713361891348'],1663970713361891348,"RT @INL: #NUCLEAR MILESTONE ⚛️✅

Researchers @INL recently completed the initial post-irradiation examination of tristructural isotropic (T…"
['1663968585604055051'],1663968585604055051,"#NUCLEAR MILESTONE ⚛️✅

Researchers @INL recently completed the initial post-irradiation examination of tristructural isotropic (TRISO) particle fuel to qualify the fuel for commercial use in high-temperature reactors.

More on TRISO: https://t.co/ald2aqUmKF

@ENERGY @govnuclear"
['1663968161132081155'],1663968161132081155,"@anderssandberg @antonioetayo The difference being that those other industries really are doing those things: oil destroys climate, biotech can make killer bugs, nuclear energy can cause radiological accidents. Superintelligence is only an imaginary risk.

Btw: fossil fuel use is causing climate change."
['1663968023043010560'],1663968023043010560,@SenMullin @EPWGOP @FoxNewsOpinion The Biden Administration is doing exactly what needs to be done to greatly reduce the use of hydrocarbons for fuel.  The Inflation Reduction Act provides many incentives for the expansion of nuclear power and hydrogen.  Reducing CO2 in the atmosphere will come from capitalism.
['1663967603977601024'],1663967603977601024,"RT @eyeonthearctic: The 158 meter long and 22,661 ton heavy ship will enable Rosatom to replace nuclear fuel at its new fleet of icebreaker…"
['1663967020000452608'],1663967020000452608,"The 158 meter long and 22,661 ton heavy ship will enable Rosatom to replace nuclear fuel at its new fleet of icebreakers, as well as small-scale floating nuclear power plant Akademik Lomonosov.
via @AtleStaalesen @BarentsNews 
#Arctic #Russia 
https://t.co/cCzJmklvXU"
['1663966583817945099'],1663966583817945099,"@marzipandrea @jordanbpeterson To be fair it was in relation to a bonafide serious nuclear accedent in Japan, granted there were anti nuclear elements in Germany before though.... But it's the gas that's the issue now..... A fossil fuel."
