,Date,Tweet
61,2023-04-19 18:42:18+00:00,"1950s ""when a wave of nuclear tests released exotic radioactive elements &amp; isotopes into the atmosphere, &amp; their fallout settled into soils &amp; sediments.""

https://t.co/Zr3KB6Bc5o

#EarthSci #GeoSci #Anthroposcene"
62,2023-04-19 18:38:30+00:00,@KimDotcom The controllers wont use nuclear other than a scare tactic. They want control of the world for themselves but not a radioactive world. Not saying there won't be limited nuclear bombing but not world wide. Its easier to create a pandemic when you already have immunity for yourself
63,2023-04-19 18:02:38+00:00,"@JamaicaGleaner He's a freaking wealthy 1%er who anticipates leaving Earth on a rocket while the rest of us slowly die. They are planning to build a moon base for the 1% to wait out the radioactive fallout when they enact the ""Great Rest"" AKA a Nuclear Holocaust"
64,2023-04-19 18:00:19+00:00,What are “downwinders?” People who lived and worked in areas exposed to radioactive fallout from nuclear testing during WWII. Find out how their families have suffered and what they're still fighting for in a Hear Arizona episode. @NathanielBoyle6 reports. https://t.co/ZmPtiyVNbr https://t.co/rSkSZNUyoh
65,2023-04-19 17:17:03+00:00,"Please stop replacing nuclear energy with coal, it's significantly more toxic and actually produces more radioactive waste.

I love people in power having no idea what they're voting on, and instead just believing what lobbyists tell them."
66,2023-04-19 17:15:15+00:00,"@bayson_ray @OutnumberedFNC @HARRISFAULKNER @kayleighmcenany @EmilyCompagno @KellyannePolls @BillHemmer Also, nuclear energy produces radioactive waste.
We have an energy-from-waste plant that generates more than enough power. It powers 'Charging Stations' 4 EV cars in the downtown, at malls + other 'large' parking locations. It also powers city bldgs.
We also have windmills.
1/2"
67,2023-04-19 16:37:50+00:00,"@Foxu_xu Yes yes but Dr Anderson isn't a radioactive furnice, nuclear fission creates heat :P

(dr anderson is very hot though, even without being radioactive)"
68,2023-04-19 16:13:33+00:00,Oh my. Lets use nuclear waste in batteries! Invented in 2016 as a way to use up nuclear waste! Now we can all own a piece of radioactive waste....#Nuclear #Battery https://t.co/ZKrizIycXF
69,2023-04-19 15:45:41+00:00,"Canada’s regulatory framework for the safe and environmentally sound management of radioactive waste is aligned with international best practices.

Read @NRCan’s modernized policy for radioactive waste and decommissioning: https://t.co/0tjmAIvmtz https://t.co/w0orimtiVw"
70,2023-04-19 15:42:14+00:00,"@mark_lynas Nuclear isn't carbon free. The mining, processing and transport of uranium and yellow cake are both filthy and carbon intensive. The same goes for building storage facilities for the radioactive waste, and its transport and processing."
71,2023-04-19 15:41:38+00:00,"@P_McCulloughMD @twc_health @FreeWCH NB: the punishing of physical Babylon, that resembles nuclear war—a ""great city"" destroyed in 1 hour in fire, consequences of radioactive poisoning etc—can't be done by Christians (we must love and forgive all people). It's done by the satanic beast's 10 horns—Revelation 17:16."
72,2023-04-19 15:15:43+00:00,"Nuclear Energy is risky as During a Chornobyl reactor accident, Germany was hit with radioactive fallout. 
Global uncertainty and the ongoing war between Ukraine and Russia has also increased the risks for nuclear energy"
73,2023-04-19 15:15:42+00:00,"Why German Government has taken this decision 
They say they are making the country safer by closing down the nuclear reactors. 
•It also avoids additional high-level radioactive waste.
•Radioactive waste is a big concern for the country as this issue remains unsolved"
74,2023-04-19 15:07:53+00:00,"@sylwie_sch @energybants @emilyrs @ForeignPolicy CO2 is an extremely important pollutant, as it has a significant global warming potential. 
Burning coal also means more radioactive substances emitted than if the nuclear power plant was working.

So... which pollutants, specifically, you have in mind? 

[Krzysiek]"
75,2023-04-19 15:00:30+00:00,@hideCarson @SaltyFrenchBoi they shut them down on the 15th to replace it with green energy but can't even make up 10% of the lost power with green energy so they fired up more coal powerplants that emit more radioactive waste into the wild than the nuclear ones did  🕺
76,2023-04-19 14:55:18+00:00,"One week from tonight, ""Radioactive: The Women of Three Mile Island,"" recounts the worst commercial nuclear accident in U.S. history and ongoing health issues and legal struggles that have resulted. 4/26, follwed by a discussion with filmmaker Heidi Hutner. https://t.co/qG2fKySjMv"
77,2023-04-19 14:45:05+00:00,"@Dutch1337_ @Parappa_Wrapper @Thesaints147 @Rainmaker1973 It has nothing to do with retirement age ffs.
Radioactive ""waste"" of someone like France, someone like Russia still can use as fuel just by having slightly better edge on nuclear technology. And they still can be improved."
78,2023-04-19 14:39:46+00:00,@SewnPurple @Parappa_Wrapper @Thesaints147 @Rainmaker1973 Just calculated this: France spends near a billion per year on radioactive waste management. With this money they could have set reritement age at 64 instead of 65. French work 1 year extra for nuclear.
79,2023-04-19 14:23:50+00:00,"@NikolovScience Nuclear power plants produce radioactive waste that is dangerous for MILLENNIA.

It is a NOT TRUE that nuclear power is ""clean.""  Just building the plants creates large amounts of waste."
80,2023-04-19 14:17:31+00:00,@DickDelingpole A modern Russian-submarine nuclear attack on the UK would also release a 300 metre high tsunami of highly radioactive sea water on those islands...game over immediately.
81,2023-04-19 14:13:39+00:00,"God mode 
#autunite
It just a decaying radioactive nuclear isotope that produces high amounts if alpha particles naturally which can kill surface cancers and tumors. No big deal.

☢️🫨😱🫨☢️
#ontario
#canada https://t.co/IKqcUZ06gX"
82,2023-04-19 14:13:32+00:00,"I've got the serum and I'm going to take it
All the way to Boston, oh I've got to get through
The going won't be easy, but I'm going to make it
It's the only thing that I'm cut out to do
Ride the post-atomic radioactive trash
The sky's on fire from that nuclear flash."
